,,,,,,,,,
,,,Rivian R2 Reservations Tracker Form  <-- Link to submit your order info.                        ,,,,,,
,,,"* After submitting order info, please post a reply in this thread to notify us.",,,,,,
,,,Rivian R2 Reservations Change Request Form  <-- Link to submit edit request for your submitted order info.,,,,,,
,,,,,,,,,
,#,Username,R2 reservation date,Location,,Are you a current Rivian R1 owner?,"If you are a current R1 owner, will you be keeping your R1 and adding an R2?","If you are a current R1 owner, which model?",Other vehicles currently owned
,236,EJF128,3/7/2024,PA,,Yes,Yes,R1S,"X7, Bronco Sport"
,237,Throwback,3/7/2024,NJ,,No,,,Mini Cooper hardtop
,238, alecs0,3/7/2024,NY,,No,No,,Tesla Y
,239,Jabbahop,3/7/2024,UT,,Yes,Undecided,R1S,BMW i3
,240,Jpodger,3/7/2024,Canada - British Columbia,,No,,,Lincoln Aviator Plug in
,241,chester,3/7/2024,MN,,No,,,Subaru Outback Wilderness
,242,Ehernandez64,3/7/2024,FL,,No,,,"Tesla Models 3, Y, and X"
,243,calpharo,3/7/2024,CA,,Yes,Yes,R1S,2022 Tesla Model S
,244,Ealberton,3/7/2024,CA,,Yes,Undecided,R1S,Honda CRV
,245,a76marine,3/7/2024,IL,,Yes,Undecided,R1T,GMC Acadia
,246,Harkco,3/7/2024,TX,,Yes,Yes,R1T,Lexus GX
,247,md2023,3/7/2024,MA,,Yes,Undecided,R1T,
,248,freddie,3/7/2024,CA,,Yes,Yes,R1S,
,249,ESS,3/7/2024,WA,,Yes,Yes,R1S,Tesla Model Y
,250,KILLER95STANG,3/7/2024,CA,,Yes,Yes,R1S,"Ford F150, Ford Mustang, Ford Explorer, Ford Falcon"
,251,R1S FOR ,3/7/2024,Canada - British Columbia,,Yes,Yes,R1S,Toyota Tacoma
,252,MC,3/7/2024,WA,,No,,,
,253,GD_R1T,3/7/2024,OR,,Yes,No,R1T,
,254,NitroNick,3/7/2024,CO,,No,,,"IS350, Crosstrek"
,255,Srini,3/7/2024,NC,,Yes,Yes,R1S,Hyundai Sonata
,256,R1S for RS,3/7/2024,Canada - British Columbia,,Yes,Yes,R1S,Toyota Tacoma
,257,mclark2112,3/7/2024,NJ,,Yes,Undecided,R1S,BMW X5
,258,TUD,3/7/2024,TN,,No,,,Multiple German Manufacturers
,259,jamlank,3/7/2024,CA,,Yes,Yes,R1T,Subaru Crosstrek
,260,Roger,3/7/2024,NH,,No,,,"Toyota Highlander, Subaru Outback"
,261,Charged,3/7/2024,NH,,Yes,Yes,R1T,Jeep Grand Cherokee Summit
,262,Skigramps ,3/7/2024,WI,,Yes,Yes,R1S,Subaru Crosstrek 
,263,Skigramps ,3/7/2024,WI,,Yes,Yes,R1S,Subaru Crosstrek 
,264,Balance@now1,3/7/2024,CA,,No,,,Honda crv
,265,compmix,3/7/2024,CA,,Yes,No,R1T,
,266,danen1973,3/7/2024,TN,,Yes,Yes,R1T,Jeep Wrangler
,267,jfrieden,3/7/2026,VA,,No,,,"Model 3, Mach-e"
,268,Viper D-Day,3/7/2024,GA,,Yes,Yes,R1S,"BMW X6M, Hummer H3"
,269,DRMARIO,3/7/2024,GA,,Yes,Yes,R1T,
,270,godfodder0901,3/7/2024,WA,,Yes,Yes,R1T,
,271,valkyrie,3/7/2024,CA,,Yes,Yes,R1T,"2014 Land Rover LR4 HSE, 2018 Tesla Model 3 LR"
,272,devildog125,3/7/2024,MO,,Yes,Yes,R1T,ID.4
,273,Kucanhead,3/7/2024,NV,,Yes,Yes,R1T,Acura RDX
,274,OUTAGAS,3/7/2024,SC,,Yes,Yes,R1T,"BMW 535d, BMW 335d"
,275,Spork8,3/7/2024,MI,,Yes,Yes,R1T,
,276,Lisa & Bob,3/7/2024,CA,,Yes,Yes,R1S,2017 Toyota Highlander Hybrid 
,277,DENbrewer,3/7/2024,CO,,No,,,Subaru Forester
,278,Benatar,3/7/2024,WA,,Yes,Undecided,R1S,VW ID4
,279,baleedat,3/7/2024,SC,,Yes,Yes,R1T,Honda Odyssey
